,username,ip_address,product,price,infos,currency,egg,fish,gluten,milk,mustard,peanut,soja,sugar,country,price in $
0,ldrover0,666.666.666.666,Clam - Cherrystone,712.8, sugar,,0,0,0,0,0,0,0,1,,712.8
1,kizakov1,nope,Soup - Campbells Bean Medley,379.26, peanut fish,,0,1,0,0,0,1,0,0,,379.26
2,abromet2,240.177.79.234,Island Oasis - Lemonade,305.96, mustard fish,,0,1,0,0,1,0,0,0,,305.96
3,kkarolowski3,26.191.237.49,"Water - Mineral, Natural",350.15, gluten,USD,0,0,1,0,0,0,0,0,US,350.15
4,mbuckney4,58.90.204.239,Radish - Pickled,949.79, sugar egg fish,JPY,1,1,0,0,0,0,0,1,JP,8.75
5,bsnozzwell5,226.52.32.70,Oil - Sesame,354.33, sugar milk,,0,0,0,1,0,0,0,1,,354.33
6,afairholme6,127.197.204.119,Chicken - Tenderloin,484.83, sugar,,0,0,0,0,0,0,0,1,,484.83
7,avowdon7,189.169.17.54,Dc Hikiage Hira Huba,111.56, sugar,MXN,0,0,0,0,0,0,0,1,MX,5.81
8,epridham8,187.129.113.105,Dried Figs,88.05, sugar milk fish,MXN,0,1,0,1,0,0,0,1,MX,4.59
9,tkendrew9,22.32.234.215,Pop - Club Soda Can,861.25, peanut sugar milk fish,USD,0,1,0,1,0,1,0,1,US,861.25
10,cjagielaa,75.254.207.163,Cinnamon Rolls,966.34, peanut sugar egg fish,USD,1,1,0,0,0,1,0,1,US,966.34
11,jdolbeyb,17.105.113.72,Wine - Ice Wine,679.57, mustard sugar milk,USD,0,0,0,1,1,0,0,1,US,679.57
12,chaylandsc,208.239.186.79,Chicken Thigh - Bone Out,725.88, gluten sugar,USD,0,0,1,0,0,0,0,1,US,725.88
13,mvidelerd,116.18.56.20,Trout Rainbow Whole,178.58, peanut,CNY,0,0,0,0,0,1,0,0,CN,25.21
14,jmulvine,87.198.88.207,Bread Crumbs - Panko,150.89, gluten soja sugar milk,EUR,0,0,1,1,0,0,1,1,IE,168.15
15,kcaldeyrouxf,138.44.156.99,Vector Energy Bar,72.51, gluten soja sugar milk,AUD,0,0,1,1,0,0,1,1,AU,49.64
16,ctaftg,18.61.195.234,Versatainer Nc - 888,373.96, soja sugar,USD,0,0,0,0,0,0,1,1,US,373.96
17,ksumptonh,150.214.20.140,Bagel - Ched Chs Presliced,957.7, peanut sugar egg,EUR,1,0,0,0,0,1,0,1,ES,1067.26
18,aloweri,157.197.190.113,Dry Ice,963.32, sugar milk,KRW,0,0,0,1,0,0,0,1,KR,0.82
19,sgarmeyj,219.75.213.15,Nantucket - Kiwi Berry Cktl.,772.7, gluten soja sugar egg fish,JPY,1,1,1,0,0,0,1,1,JP,7.12
20,mjahndelk,225.250.18.162,Gherkin,550.63, soja,,0,0,0,0,0,0,1,0,,550.63
21,chayhurstl,157.145.5.133,Muffin - Bran Ind Wrpd,705.45, soja sugar,USD,0,0,0,0,0,0,1,1,US,705.45
22,rpayntonm,105.123.55.143,"Tart Shells - Savory, 3",135.84, peanut soja sugar,NGN,0,0,0,0,0,1,1,1,NG,135.84
23,ahammelbergn,222.143.75.39,Wine - Manischewitz Concord,658.92, sugar,CNY,0,0,0,0,0,0,0,1,CN,93.02
24,dpico,17.226.242.68,Bread - Pain Au Liat X12,917.69, sugar milk fish,USD,0,1,0,1,0,0,0,1,US,917.69
25,bberntp,201.51.7.205,Extract - Almond,355.46, sugar milk,BRL,0,0,0,1,0,0,0,1,BR,85.44
26,vdeniskevichq,177.248.202.127,Soup Campbells Turkey Veg.,952.08, egg fish,MXN,1,1,0,0,0,0,0,0,MX,49.61
27,apesr,24.1.79.147,Numi - Assorted Teas,770.98, mustard sugar,USD,0,0,0,0,1,0,0,1,US,770.98
28,mheynels,123.157.88.33,Cranberries - Dry,524.1, gluten soja sugar,CNY,0,0,1,0,0,0,1,1,CN,73.99
29,rmackessockt,254.37.135.127,"Bread - Roll, Canadian Dinner",597.95, sugar milk,,0,0,0,1,0,0,0,1,,597.95
30,grommeu,254.21.208.244,Mousse - Mango,709.39, sugar egg fish,,1,1,0,0,0,0,0,1,,709.39
31,dbocockv,134.167.195.239,Bacardi Mojito,269.56, mustard milk fish,USD,0,1,0,1,1,0,0,0,US,269.56
32,mcamousw,140.223.76.83,Beer - Corona,254.98, mustard sugar milk fish,USD,0,1,0,1,1,0,0,1,US,254.98
33,imildnerx,67.232.83.24,"Pasta - Shells, Medium, Dry",328.83, gluten sugar milk,USD,0,0,1,1,0,0,0,1,US,328.83
34,cmilellay,124.100.237.236,Pears - Fiorelle,622.46, soja milk,JPY,0,0,0,1,0,0,1,0,JP,5.73
35,jburdinz,12.218.65.100,Cheese - Cheddarsliced,336.88, gluten,USD,0,0,1,0,0,0,0,0,US,336.88
36,mbelding10,22.73.245.49,Cheese - Ricotta,756.85, gluten sugar,USD,0,0,1,0,0,0,0,1,US,756.85
37,shiers11,191.45.106.36,Juice - Lemon,683.29, peanut milk fish,BRL,0,1,0,1,0,1,0,0,BR,164.24
38,sbaudassi12,47.153.1,Longos - Grilled Veg Sandwiches,524.5, sugar fish,,0,1,0,0,0,0,0,1,,524.5
39,gtingle13,32.112.67.248,Soup - French Can Pea,764.56, soja sugar egg fish,USD,1,1,0,0,0,0,1,1,US,764.56
40,lbadsey14,188.98.203.195,Truffle Paste,353.48, sugar fish,EUR,0,1,0,0,0,0,0,1,DE,393.92
41,gallsepp15,167.174.244.176,Beef Wellington,512.06, soja sugar egg,USD,1,0,0,0,0,0,1,1,US,512.06
42,kbeecheno16,21.124.12.215,Pickle - Dill,763.44, mustard sugar egg,USD,1,0,0,0,1,0,0,1,US,763.44
43,rsedgeman17,190.233.51.35,"Juice - Clam, 46 Oz",512.02, sugar,PEN,0,0,0,0,0,0,0,1,PE,512.02
44,fkillimister18,143.75.128.57,Scallops - Live In Shell,743.2, soja sugar milk,USD,0,0,0,1,0,0,1,1,US,743.2
45,tsaile19,41.63.88.3,Ham - Virginia,789.78, sugar egg,USD,1,0,0,0,0,0,0,1,US,789.78
46,estolz1a,32.77.50.179,Curry Paste - Green Masala,662.6, soja sugar fish,USD,0,1,0,0,0,0,1,1,US,662.6
47,breven1b,201.14.107.40,Water - San Pellegrino,53.8, peanut soja sugar milk,BRL,0,0,0,1,0,1,1,1,BR,12.93
48,tnusche1c,109.144.241.78,Tomatoes - Grape,852.58, peanut sugar fish,GBP,0,1,0,0,0,1,0,1,GB,1099.23
49,ychuter1d,136.251.73.188,"Coconut - Shredded, Unsweet",985.06, peanut mustard sugar milk,USD,0,0,0,1,1,1,0,1,US,985.06
50,dlambdean1e,246.216.13.211,Aspic - Light,110.24, egg,,1,0,0,0,0,0,0,0,,110.24
51,dempson1f,220.115.202.199,"Rum - Spiced, Captain Morgan",342.82, gluten sugar milk,CNY,0,0,1,1,0,0,0,1,CN,48.4
52,gborham1g,180.2.219,Squash - Guords,92.26, sugar egg fish,,1,1,0,0,0,0,0,1,,92.26
53,fsouthey1h,69.135.112.215,Sansho Powder,207.7, peanut soja egg fish,USD,1,1,0,0,0,1,1,0,US,207.7
54,hturbern1i,223.25.136.102,Ham - Virginia,77.98, gluten sugar,JPY,0,0,1,0,0,0,0,1,JP,0.72
55,jmalia1j,6.120.0.29,"Veal - Inside Round / Top, Lean",515.54, soja,USD,0,0,0,0,0,0,1,0,US,515.54
56,rpittendreigh1k,178.154.116.57,Crab - Meat Combo,330.19, peanut sugar fish,BYN,0,1,0,0,0,1,0,1,BY,330.19
57,arichings1l,207.0.191.149,Beef - Sushi Flat Iron Steak,86.64, mustard,USD,0,0,0,0,1,0,0,0,US,86.64
58,vhadingham1m,109.242.195.131,Sloe Gin - Mcguinness,167.6, sugar fish,EUR,0,1,0,0,0,0,0,1,GR,186.77
59,cwrenn1n,38.125.216.233,Cheese - Perron Cheddar,925.05, gluten soja milk,USD,0,0,1,1,0,0,1,0,US,925.05
60,hdulieu1o,35.105.188.50,Kellogs Raisan Bran Bars,537.55, mustard egg fish,USD,1,1,0,0,1,0,0,0,US,537.55
61,iprendiville1p,104.27.157.229,Grouper - Fresh,689.88, peanut,USD,0,0,0,0,0,1,0,0,US,689.88
62,emessum1q,133.56.53.78,Milk - Chocolate 250 Ml,72.36, gluten mustard sugar,JPY,0,0,1,0,1,0,0,1,JP,0.67
63,hbraunes1r,46.14.231.6,Seedlings - Clamshell,260.21, gluten soja sugar,CHF,0,0,1,0,0,0,1,1,CH,263.71
64,hreidshaw1s,104.137.59.250,"Rice Pilaf, Dry,package",992.68, soja sugar egg,USD,1,0,0,0,0,0,1,1,US,992.68
65,dtremouille1t,176.211.210.96,Bacardi Limon,746.54, gluten fish,RUB,0,1,1,0,0,0,0,0,RU,11.67
66,rbeake1u,244.35.187.136,"Pasta - Orzo, Dry",677.81, sugar egg,,1,0,0,0,0,0,0,1,,677.81
67,gbayles1v,40.155.15.190,Wine - Two Oceans Cabernet,130.84, gluten sugar milk fish,USD,0,1,1,1,0,0,0,1,US,130.84
68,lbloxsom1w,336.192.150.109,Cinnamon - Ground,602.35, soja sugar fish,,0,1,0,0,0,0,1,1,,602.35
69,psemechik1x,38.360.77.106,Curry Paste - Madras,976.51, mustard sugar milk fish,,0,1,0,1,1,0,0,1,,976.51
70,easgodby1y,43.219.225.156,"Cake Circle, Foil, Scallop",616.3, sugar,JPY,0,0,0,0,0,0,0,1,JP,5.68
71,sjanusz1z,127.128.57.9,Pastry - Raisin Muffin - Mini,770.99, gluten soja sugar fish,,0,1,1,0,0,0,1,1,,770.99
72,mbillborough20,127.8.161.201,Port - 74 Brights,493.64, gluten sugar,,0,0,1,0,0,0,0,1,,493.64
73,ptzuker21,86.115.203.240,"Jam - Strawberry, 20 Ml Jar",828.1, sugar egg fish,EUR,1,1,0,0,0,0,0,1,FI,922.83
74,kchasmoor22,142.7.77.36,Puff Pastry - Slab,302.27, soja egg,CAD,1,0,0,0,0,0,1,0,CA,230.1
75,apopland23,155.168.213.24,Lamb - Ground,379.99, egg,USD,1,0,0,0,0,0,0,0,US,379.99
76,bhansbury24,18.168.190.176,"Lemonade - Kiwi, 591 Ml",179.05, fish,USD,0,1,0,0,0,0,0,0,US,179.05
77,abrimicombe25,158.169.121.162,Crackers - Graham,226.79, egg fish,EUR,1,1,0,0,0,0,0,0,BE,252.73
78,kcesaric26,26.171.48.220,Ecolab - Medallion,269.55, gluten sugar egg,USD,1,0,1,0,0,0,0,1,US,269.55
79,mlightowlers27,49.33.151.84,Banana Turning,135.11, sugar milk fish,INR,0,1,0,1,0,0,0,1,IN,1.9
80,hbetts28,92.153.201.202,"Nut - Pecan, Pieces",543.2, gluten sugar milk fish,EUR,0,1,1,1,0,0,0,1,FR,605.34
81,cwhitaker29,98.137.66.63,V8 Splash Strawberry Kiwi,426.88, gluten soja sugar egg fish,USD,1,1,1,0,0,0,1,1,US,426.88
82,sminshull2a,103.46.67.17,Coffee Cup 8oz 5338cd,798.3, peanut sugar,CNY,0,0,0,0,0,1,0,1,CN,112.69
83,hkinnear2b,187.45.179.240,Flower - Commercial Bronze,969.01, peanut,BRL,0,0,0,0,0,1,0,0,BR,232.92
84,lflaherty2c,77.158.148.198,Milk - 2%,178.89, sugar milk fish,EUR,0,1,0,1,0,0,0,1,FR,199.36
85,etremain2d,117.116.192.82,Bacardi Mojito,407.58, peanut soja,CNY,0,0,0,0,0,1,1,0,CN,57.54
86,vfinnis2e,182.63.139.137,"Bread - Rolls, Rye",539.62, peanut soja fish,MYR,0,1,0,0,0,1,1,0,MY,128.9
87,nbartozzi2f,250.55.159.47,Lemon Balm - Fresh,217.09, gluten milk fish,,0,1,1,1,0,0,0,0,,217.09
88,etoulamain2g,70.155.199.76,Lemons,750.37, soja egg fish,USD,1,1,0,0,0,0,1,0,US,750.37
89,jrehme2h,157.108.157.105,"Melon - Watermelon, Seedless",82.38, peanut sugar fish,JPY,0,1,0,0,0,1,0,1,JP,0.76
90,lfritter2i,163.69.250.215,Wine - Ruffino Chianti,530.38, peanut soja milk fish,EUR,0,1,0,1,0,1,1,0,FR,591.06
91,dsparshett2j,236.107.54.47,"Wine - Cahors Ac 2000, Clos",829.75, gluten mustard sugar egg fish,,1,1,1,0,1,0,0,1,,829.75
92,tpinnigar2k,116.190.103.104,"Brandy - Orange, Mc Guiness",883.19, peanut sugar milk,CNY,0,0,0,1,0,1,0,1,CN,124.68
93,jbeazer2l,22.136.119.134,Mustard - Pommery,58.46, mustard sugar egg,USD,1,0,0,0,1,0,0,1,US,58.46
94,ggingell2m,19.106.249.206,Papayas,87.02, gluten mustard sugar fish,USD,0,1,1,0,1,0,0,1,US,87.02
95,adeam2n,137.202.171.150,Versatainer Nc - 888,823.0, gluten sugar egg,USD,1,0,1,0,0,0,0,1,US,823.0
96,pluton2o,127.148.93.213,"Pork - Bacon, Sliced",846.88, gluten mustard sugar egg,,1,0,1,0,1,0,0,1,,846.88
97,sroz2p,116.106.48.241,Soup - Verve - Chipotle Chicken,315.17, sugar fish,VND,0,1,0,0,0,0,0,1,VN,315.17
98,mmacsween2q,99.8.210.33,Cherries - Fresh,488.34, peanut mustard sugar milk,USD,0,0,0,1,1,1,0,1,US,488.34
99,gwreight2r,118.73.14.248,Lady Fingers,666.93, soja fish,CNY,0,1,0,0,0,0,1,0,CN,94.15
100,byellop2s,249.67.24.2,Herb Du Provence - Primerba,708.98, sugar egg,,1,0,0,0,0,0,0,1,,708.98
101,bsibbering2t,152.346.35.103,Oil - Hazelnut,681.22, sugar egg fish,,1,1,0,0,0,0,0,1,,681.22
102,vkneal2u,57.102.222.77,Chicken - Leg / Back Attach,251.91, gluten sugar milk fish,USD,0,1,1,1,0,0,0,1,US,251.91
103,shaysey2v,122.225.117.164,"Soup - Knorr, French Onion",854.35, gluten sugar milk fish,CNY,0,1,1,1,0,0,0,1,CN,120.61
104,bmclevie2w,136.232.122.2,"Lentils - Red, Dry",99.92, mustard sugar,INR,0,0,0,0,1,0,0,1,IN,1.4
105,hgives2x,253.176.78.127,Cardamon Seed / Pod,64.32, mustard sugar,,0,0,0,0,1,0,0,1,,64.32
106,nlampkin2y,49.215.30.109,Tomato - Plum With Basil,990.81, peanut mustard sugar egg,TWD,1,0,0,0,1,1,0,1,TW,990.81
107,ctowndrow2z,87.59.190.114,Bread - Pita,767.62, soja sugar egg,DKK,1,0,0,0,0,0,1,1,DK,114.51
108,fjennemann30,223.203.79.58,Wine - Red Oakridge Merlot,372.13, gluten sugar fish,CNY,0,1,1,0,0,0,0,1,CN,52.53
109,amcluckie31,9.31.113.10,Sauce - Plum,314.33, sugar,IDR,0,0,0,0,0,0,0,1,ID,0.02
110,blorent32,243.233.167.154,Easy Off Oven Cleaner,340.48, soja milk,,0,0,0,1,0,0,1,0,,340.48
111,ccota33,188.89.170.252,Soup - Campbells Mac N Cheese,635.85, fish,EUR,0,1,0,0,0,0,0,0,NL,708.59
112,kdimanche34,18.112.24.144,Mushroom - Lg - Cello,494.44, peanut sugar milk,USD,0,0,0,1,0,1,0,1,US,494.44
113,ddrakeley35,109.90.30.99,Clam Nectar,661.49, peanut soja sugar,EUR,0,0,0,0,0,1,1,1,DE,737.16
114,aatack36,158.197.55.255,Tamarind Paste,946.48, gluten sugar fish,EUR,0,1,1,0,0,0,0,1,SK,1054.76
115,bdelacote37,15.43.177.3,Sugar - White Packet,92.2, gluten egg,USD,1,0,1,0,0,0,0,0,US,92.2
116,bdinjes38,202.58.212.28,Lid Tray - 16in Dome,295.04, peanut sugar,IDR,0,0,0,0,0,1,0,1,ID,0.02
117,zpawelski39,95.30.190.244,Beef - Salted,958.96, peanut mustard sugar fish,RUB,0,1,0,0,1,1,0,1,RU,14.99
118,zembleton3a,134.10.200.254,Wine - Pinot Noir Latour,944.51, soja sugar milk,USD,0,0,0,1,0,0,1,1,US,944.51
119,mwalaron3b,160.32.117.250,Flour - Cake,572.22, mustard sugar,USD,0,0,0,0,1,0,0,1,US,572.22
120,cgorusso3c,16.157.249.370,"Pasta - Shells, Medium, Dry",940.51, gluten sugar,,0,0,1,0,0,0,0,1,,940.51
121,kjanu3d,64.255.164.81,Langers - Cranberry Cocktail,292.42, peanut mustard sugar milk fish,USD,0,1,0,1,1,1,0,1,US,292.42
122,wizacenko3e,133.113.234.50,Shopper Bag - S - 4,829.43, peanut mustard milk,JPY,0,0,0,1,1,1,0,0,JP,7.64
123,pmcdermid3f,30.149.187.196,Tomatoes - Orange,484.76, peanut sugar,USD,0,0,0,0,0,1,0,1,US,484.76
124,agiannazzo3g,62.195.228.210,Tilapia - Fillets,163.07, mustard sugar fish,EUR,0,1,0,0,1,0,0,1,NL,181.73
125,babramow3h,80.78.230.239,Lobster - Base,133.99, soja sugar fish,BGN,0,1,0,0,0,0,1,1,BG,76.35
126,hmaggillandreis3i,155.129.104.232,Smoked Paprika,811.36, soja,USD,0,0,0,0,0,0,1,0,US,811.36
127,gthompsett3j,189.42.57.44,Flour - Teff,334.02, sugar fish,BRL,0,1,0,0,0,0,0,1,BR,80.29
128,bbenzie3k,125.123.26.205,Beer - Blue,98.5, sugar,CNY,0,0,0,0,0,0,0,1,CN,13.91
129,dedgin3l,146.170.32.157,"Ham - Smoked, Bone - In",109.46, gluten soja sugar fish,USD,0,1,1,0,0,0,1,1,US,109.46
130,sclaque3m,119.240.194.250,Duck - Legs,592.53, soja milk,JPY,0,0,0,1,0,0,1,0,JP,5.46
131,hfenich3n,250.77.192.202,"Pepper - Green, Chili",204.86, peanut sugar fish,,0,1,0,0,0,1,0,1,,204.86
132,tstriker3o,43.192.210.210,Squash - Guords,378.17, peanut mustard sugar,JPY,0,0,0,0,1,1,0,1,JP,3.48
133,medensor3p,49.39.42.217,Pastry - French Mini Assorted,901.63, sugar fish,INR,0,1,0,0,0,0,0,1,IN,12.67
134,clawles3q,247.213.246.26,Water - Aquafina Vitamin,418.06, sugar egg fish,,1,1,0,0,0,0,0,1,,418.06
135,chessentaler3r,243.254.233.38,"Lamb - Loin, Trimmed, Boneless",633.38, gluten soja,,0,0,1,0,0,0,1,0,,633.38
136,jdorran3s,76.111.27.142,"Club Soda - Schweppes, 355 Ml",552.13, gluten soja milk,USD,0,0,1,1,0,0,1,0,US,552.13
137,zstendall3t,184.54.169.136,Cake - Pancake,739.14, gluten fish,USD,0,1,1,0,0,0,0,0,US,739.14
138,swraxall3u,39.134.108.13,"Beans - Navy, Dry",730.08, sugar egg fish,CNY,1,1,0,0,0,0,0,1,CN,103.06
139,lvanrembrandt3v,89.198.127.212,"Nut - Pecan, Pieces",285.06, sugar fish,IRR,0,1,0,0,0,0,0,1,IR,285.06
140,hberkely3w,96.111.78.174,Beans - Yellow,746.62, mustard sugar,USD,0,0,0,0,1,0,0,1,US,746.62
141,bstollmeyer3x,100.31.73.144,Cheese - Asiago,932.02, peanut soja sugar egg,USD,1,0,0,0,0,1,1,1,US,932.02
142,eemloch3y,377.183.202.192,Garbage Bags - Clear,576.38, peanut sugar,,0,0,0,0,0,1,0,1,,576.38
143,rskinley3z,26.109.234.104,Cookies Oatmeal Raisin,694.19, gluten mustard sugar milk fish,USD,0,1,1,1,1,0,0,1,US,694.19
144,dchopy40,154.127.191.11,Papayas,738.26, gluten soja sugar,AOA,0,0,1,0,0,0,1,1,AO,738.26
145,fasey41,84.156.203.12,Island Oasis - Strawberry,295.55, gluten sugar fish,EUR,0,1,1,0,0,0,0,1,DE,329.36
146,swrightson42,147.29.39.123,"Beans - Navy, Dry",872.59,,DKK,0,0,0,0,0,0,0,0,DK,130.17
147,wcoverley43,123.198.133.228,Chips - Assorted,669.46, peanut mustard egg fish,JPY,1,1,0,0,1,1,0,0,JP,6.17
148,rdymoke44,182.221.65.205,Water - Tonic,766.0, sugar egg,KRW,1,0,0,0,0,0,0,1,KR,0.65
149,mdenge45,7.73.129.15,Kellogs Special K Cereal,374.6, gluten mustard sugar fish,USD,0,1,1,0,1,0,0,1,US,374.6
150,sleadbeatter46,88.6.251.117,Calaloo,631.98, mustard sugar egg fish,EUR,1,1,0,0,1,0,0,1,ES,704.28
151,frealph47,173.217.67.181,Towel - Roll White,354.54, mustard sugar milk,USD,0,0,0,1,1,0,0,1,US,354.54
152,bgreenslade48,99.73.216.25,Sugar - Individual Portions,619.44, gluten soja sugar milk fish,USD,0,1,1,1,0,0,1,1,US,619.44
153,hmarsham49,49.142.234.10,Sugar - Splenda Sweetener,858.66,,KRW,0,0,0,0,0,0,0,0,KR,0.73
154,cjankiewicz4a,52.206.132.31,"Bread - Sticks, Thin, Plain",747.51, peanut soja sugar fish,USD,0,1,0,0,0,1,1,1,US,747.51
155,etomaselli4b,101.122.35.7,Wine - Chateauneuf Du Pape,473.22, gluten soja fish,CNY,0,1,1,0,0,0,1,0,CN,66.8
156,tbakes4c,6.27.54.236,Gatorade - Orange,530.25, mustard sugar egg,USD,1,0,0,0,1,0,0,1,US,530.25
157,bsinkins4d,0.251.101.80,Asparagus - Frozen,822.3, soja sugar milk,,0,0,0,1,0,0,1,1,,822.3
158,jwinters4e,232.11.191.153,Appetizer - Lobster Phyllo Roll,426.77, mustard sugar fish,,0,1,0,0,1,0,0,1,,426.77
159,rfacey4f,50.170.82.179,Bread - Frozen Basket Variety,531.8, mustard sugar,USD,0,0,0,0,1,0,0,1,US,531.8
160,fyonge4g,20.0.92.197,Quail Eggs - Canned,687.04, gluten sugar,USD,0,0,1,0,0,0,0,1,US,687.04
161,bbeel4h,178.90.118.137,"Coffee - Beans, Whole",883.1, peanut sugar,KZT,0,0,0,0,0,1,0,1,KZ,883.1
162,bbonhan4i,58.245.10.129,Sage - Rubbed,263.8, soja,CNY,0,0,0,0,0,0,1,0,CN,37.24
163,lmaruska4j,250.253.156.207,Crackers - Water,752.39, peanut soja sugar,,0,0,0,0,0,1,1,1,,752.39
164,hberinger4k,242.11.31.81,Extract - Raspberry,929.8, gluten sugar milk fish,,0,1,1,1,0,0,0,1,,929.8
165,tcrippill4l,67.52.189.212,Juice - Happy Planet,223.26, peanut soja sugar fish,USD,0,1,0,0,0,1,1,1,US,223.26
166,rfigin4m,11.97.224.132,"Beef - Bones, Cut - Up",412.44, peanut sugar fish,USD,0,1,0,0,0,1,0,1,US,412.44
167,tchetwind4n,62.35.227.154,Onions Granulated,556.3, fish,EUR,0,1,0,0,0,0,0,0,FR,619.94
168,btulip4o,208.41.81.254,"Iced Tea - Lemon, 460 Ml",187.68, peanut mustard sugar milk fish,USD,0,1,0,1,1,1,0,1,US,187.68
169,hwinscum4p,242.149.77.144,Mustard Prepared,74.42, sugar,,0,0,0,0,0,0,0,1,,74.42
170,abrocklesby4q,45.67.155.193,Sugar - Cubes,410.12, mustard sugar,TRY,0,0,0,0,1,0,0,1,TR,70.92
171,rlydiate4r,209.111.52.39,Tarts Assorted,55.95, sugar fish,USD,0,1,0,0,0,0,0,1,US,55.95
172,eclow4s,210.67.185.34,Muffin Mix - Blueberry,213.46, gluten mustard sugar,TWD,0,0,1,0,1,0,0,1,TW,213.46
173,ttatford4t,117.449.232.137,Sausage - Meat,267.91, gluten sugar egg fish,,1,1,1,0,0,0,0,1,,267.91
174,bhackney4u,165.230.147.86,Chips - Assorted,938.69, peanut soja sugar,USD,0,0,0,0,0,1,1,1,US,938.69
175,lmarskell4v,204.196.159.175,Muffin - Blueberry Individual,684.8, sugar milk,USD,0,0,0,1,0,0,0,1,US,684.8
176,dwynne4w,127.87.213.209,Lettuce Romaine Chopped,920.64, gluten soja sugar egg,,1,0,1,0,0,0,1,1,,920.64
177,ttruce4x,33.71.224.158,Beer - Molson Excel,720.6, sugar,USD,0,0,0,0,0,0,0,1,US,720.6
178,bdeferraris4y,189.34.123.120,Tomato - Plum With Basil,739.62, egg,BRL,1,0,0,0,0,0,0,0,BR,177.78
179,eprynne4z,215.27.56.95,Wine - Placido Pinot Grigo,255.95, sugar,USD,0,0,0,0,0,0,0,1,US,255.95
180,fborrows50,185.150.178.225,Flower - Daisies,110.41, gluten mustard,GBP,0,0,1,0,1,0,0,0,GB,142.35
181,kmccook51,226.24.84.53,Beef - Top Butt Aaa,524.13, peanut soja sugar milk,,0,0,0,1,0,1,1,1,,524.13
182,hbalmann52,203.64.75.65,Langers - Ruby Red Grapfruit,133.06, peanut sugar,TWD,0,0,0,0,0,1,0,1,TW,133.06
183,arawsthorne53,8.198.127.13,Crackers - Water,759.84, gluten soja egg fish,USD,1,1,1,0,0,0,1,0,US,759.84
184,sspeeks54,234.138.19.48,Wine - Crozes Hermitage E.,696.31, sugar fish,,0,1,0,0,0,0,0,1,,696.31
185,gwalling55,155.124.149.117,"Mushroom - Morels, Dry",937.43, peanut soja fish,USD,0,1,0,0,0,1,1,0,US,937.43
186,sjefferys56,249.240.100.136,Pastry - Apple Muffins - Mini,492.68, mustard sugar,,0,0,0,0,1,0,0,1,,492.68
187,mcassedy57,251.190.193.91,"Veal - Shank, Pieces",876.31, peanut soja egg,,1,0,0,0,0,1,1,0,,876.31
188,rcreigan58,102.105.44.112,"Juice - Grapefruit, 341 Ml",886.74, gluten sugar egg,TND,1,0,1,0,0,0,0,1,TN,886.74
189,wingree59,204.16.87.37,Cut Wakame - Hanawakaba,583.41, soja sugar,USD,0,0,0,0,0,0,1,1,US,583.41
190,gbradwell5a,89.204.46.148,Hummus - Spread,532.58, sugar,RUB,0,0,0,0,0,0,0,1,RU,8.32
191,ecasserley5b,82.78.162.116,Cup - 8oz Coffee Perforated,714.56, sugar fish,RON,0,1,0,0,0,0,0,1,RO,167.41
192,ioxtoby5c,224.1.159.40,Brandy Cherry - Mcguinness,705.24, sugar,,0,0,0,0,0,0,0,1,,705.24
193,tliddyard5d,93.22.46.177,Shrimp - Black Tiger 6 - 8,300.03, sugar egg fish,EUR,1,1,0,0,0,0,0,1,FR,334.35
194,dplayer5e,182.428.159.37,Tomato - Peeled Italian Canned,624.9, gluten sugar,,0,0,1,0,0,0,0,1,,624.9
195,ccannop5f,174.5.73.129,Nantucket Orange Juice,713.6, gluten mustard sugar milk fish,CAD,0,1,1,1,1,0,0,1,CA,543.23
196,lprovis5g,191.69.45.257,"Jam - Strawberry, 20 Ml Jar",107.78, gluten sugar,,0,0,1,0,0,0,0,1,,107.78
197,iollarenshaw5h,206.30.25.226,"Juice - Apple, 341 Ml",447.17, gluten soja,USD,0,0,1,0,0,0,1,0,US,447.17
198,mjablonski5i,44.133.211.182,"Mushroom - Chantrelle, Fresh",632.29, soja sugar,USD,0,0,0,0,0,0,1,1,US,632.29
199,aoggers5j,220.67.127.345,Sambuca - Opal Nera,570.56, gluten sugar egg,,1,0,1,0,0,0,0,1,,570.56
